Date,DJI
1985-01-29,1292.619995
1985-01-30,1287.880005
1985-01-31,1286.77002
1985-02-01,1277.719971
1985-02-04,1290.079956
1985-02-05,1285.22998
1985-02-06,1280.589966
1985-02-07,1290.079956
1985-02-08,1289.969971
1985-02-11,1276.060059
1985-02-12,1276.609985
1985-02-13,1297.920044
1985-02-14,1287.880005
1985-02-15,1282.02002
1985-02-19,1280.589966
1985-02-20,1283.130005
1985-02-21,1279.040039
1985-02-22,1275.839966
1985-02-25,1277.5
1985-02-26,1286.109985
1985-02-27,1281.030029
1985-02-28,1284.01001
1985-03-01,1299.359985
1985-03-04,1289.530029
1985-03-05,1291.849976
1985-03-06,1280.369995
1985-03-07,1271.530029
1985-03-08,1269.660034
1985-03-11,1268.550049
1985-03-12,1271.75
1985-03-13,1261.699951
1985-03-14,1260.050049
1985-03-15,1247.349976
1985-03-18,1249.670044
1985-03-19,1271.089966
1985-03-20,1265.23999
1985-03-21,1268.219971
1985-03-22,1267.449951
1985-03-25,1259.939941
1985-03-26,1259.719971
1985-03-27,1264.910034
1985-03-28,1260.709961
1985-03-29,1266.780029
1985-04-01,1272.75
1985-04-02,1265.680054
1985-04-03,1258.060059
1985-04-04,1259.050049
1985-04-08,1252.97998
1985-04-09,1253.859985
1985-04-10,1259.939941
1985-04-11,1263.689941
1985-04-12,1265.680054
1985-04-15,1266.780029
1985-04-16,1269.550049
1985-04-17,1272.310059
1985-04-18,1265.130005
1985-04-19,1266.560059
1985-04-22,1266.560059
1985-04-23,1278.709961
1985-04-24,1278.48999
1985-04-25,1284.780029
1985-04-26,1275.180054
1985-04-29,1259.719971
1985-04-30,1258.060059
1985-05-01,1242.050049
1985-05-02,1242.27002
1985-05-03,1247.23999
1985-05-06,1247.790039
1985-05-07,1252.75
1985-05-08,1249.780029
1985-05-09,1260.27002
1985-05-10,1274.180054
1985-05-13,1277.5
1985-05-14,1273.300049
1985-05-15,1273.52002
1985-05-16,1278.050049
1985-05-17,1285.339966
1985-05-20,1304.880005
1985-05-21,1309.699951
1985-05-22,1303.76001
1985-05-23,1296.709961
1985-05-24,1301.969971
1985-05-28,1301.52002
1985-05-29,1302.97998
1985-05-30,1305.780029
1985-05-31,1315.410034
1985-06-03,1310.930054
1985-06-04,1315.300049
1985-06-05,1320.560059
1985-06-06,1327.280029
1985-06-07,1316.420044
1985-06-10,1318.439941
1985-06-11,1313.839966
1985-06-12,1306.339966
1985-06-13,1290.099976
1985-06-14,1300.959961
1985-06-17,1298.390015
1985-06-18,1304.77002
1985-06-19,1297.380005
1985-06-20,1299.72998
1985-06-21,1324.47998
1985-06-24,1320.560059
1985-06-25,1323.030029
1985-06-26,1323.810059
1985-06-27,1332.209961
1985-06-28,1335.459961
1985-07-01,1337.140015
1985-07-02,1334.01001
1985-07-03,1326.390015
1985-07-05,1334.449951
1985-07-08,1328.410034
1985-07-09,1321.910034
1985-07-10,1332.890015
1985-07-11,1337.699951
1985-07-12,1338.599976
1985-07-15,1335.459961
1985-07-16,1347.890015
1985-07-17,1357.969971
1985-07-18,1350.920044
1985-07-19,1359.540039
1985-07-22,1357.640015
1985-07-23,1351.810059
1985-07-24,1348.900024
1985-07-25,1353.609985
1985-07-26,1357.079956
1985-07-29,1343.859985
1985-07-30,1346.099976
1985-07-31,1347.449951
1985-08-01,1355.619995
1985-08-02,1353.050049
1985-08-05,1346.890015
1985-08-06,1325.160034
1985-08-07,1325.040039
1985-08-08,1329.859985
